x,y,speed,Player.x,Player.y
495.6838,407.21768,149.22256,1012.0,520.0
474.08734,396.76566,149.19272,1012.0,520.0
452.48123,386.30896,149.16289,1012.0,520.0
430.3229,375.58502,149.13306,1012.0,520.0
405.99274,363.81,149.10323,1012.0,520.0
385.94623,354.10812,149.07341,1012.0,520.0
363.67252,343.32834,149.0436,1012.0,520.0
341.4624,332.57935,149.01378,1012.0,520.0
318.559,321.4948,148.98398,1012.0,520.0
296.28885,310.71677,148.95418,1012.0,520.0
276.0866,300.9395,148.9244,1012.0,520.0
253.16223,289.84482,148.8946,1012.0,520.0
231.02272,279.12997,148.86482,1012.0,520.0
209.47736,268.7027,148.83505,1012.0,520.0
186.81161,257.7332,148.80528,1012.0,520.0
164.19354,246.78674,148.77553,1012.0,520.0
141.79292,235.94554,148.74577,1012.0,520.0
118.93205,224.88159,148.71602,1012.0,520.0
97.104355,214.31767,148.68628,1012.0,520.0
75.58215,203.90161,148.65654,1012.0,520.0
57.42434,192.97571,148.62682,1012.0,520.0
80.0,192.97571,148.59709,1012.0,520.0
58.500473,182.57062,148.56737,1012.0,520.0
58.65522,172.24042,148.53766,1012.0,520.0
58.588757,161.87805,148.50795,1012.0,520.0
57.334484,150.90866,148.47824,1012.0,520.0
57.348106,139.94586,148.44855,1012.0,520.0
59.497944,130.02351,148.41885,1012.0,520.0
57.677795,119.22027,148.38918,1012.0,520.0
58.28826,108.71247,148.3595,1012.0,520.0
57.278084,97.715775,148.32982,1012.0,520.0
59.910614,87.99314,148.30016,1012.0,520.0
57.25914,76.98728,148.2705,1012.0,520.0
58.614857,69.65026,148.24084,1012.0,520.0
57.357635,69.04181,148.2112,1012.0,520.0
58.62021,69.652855,148.18155,1012.0,520.0
58.55606,69.62181,148.15192,1012.0,519.0
57.92918,69.31841,148.12228,1012.0,517.0
58.565304,69.62628,148.09267,1012.0,516.0
58.213806,69.45617,148.06305,1012.0,514.0
59.91862,70.28124,148.03343,1011.0,513.0
56.66231,68.70529,148.00383,1011.0,512.0
58.68263,69.68306,147.97423,1010.0,511.0
58.577003,69.63194,147.94463,1010.0,511.0
58.692486,69.687836,147.91504,1010.0,510.0
58.705936,69.69434,147.88545,1010.0,510.0
58.693287,69.688225,147.85588,1010.0,508.0
58.70527,69.694016,147.82631,1010.0,507.0
59.956055,70.29936,147.79674,1009.0,506.0
58.616272,69.65095,147.76718,1009.0,506.0
56.323086,68.541115,147.73763,1009.0,506.0
59.97659,70.309296,147.70808,1009.0,506.0
56.172077,68.46803,147.67854,1009.0,505.0
57.384903,69.055,147.649,1009.0,505.0
59.646774,70.14968,147.61948,1009.0,505.0
57.846786,69.27854,147.58995,1009.0,505.0
56.07223,68.419716,147.56044,1009.0,505.0
58.6401,69.662476,147.53093,1009.0,505.0
58.77292,69.72676,147.50142,1009.0,505.0
60.00847,70.32473,147.47192,1009.0,505.0
58.65809,69.67119,147.44243,1009.0,505.0
56.28567,68.52301,147.41293,1009.0,505.0
60.01396,70.327385,147.38345,1009.0,505.0
56.326996,68.54301,147.35397,1009.0,505.0
58.775566,69.72804,147.32451,1009.0,505.0
59.223392,69.94477,147.29504,1009.0,505.0
56.095516,68.430984,147.26558,1009.0,505.0
57.354134,64.27375,67.04449,1009.0,505.0
87.70437,68.83615,18.024485,1009.0,505.0
89.39454,64.864334,35.89756,1009.0,505.0
97.23764,72.65315,27.714619,1009.0,505.0
100.08399,66.7501,35.451298,1009.0,505.0
108.6236,74.88612,27.495287,1009.0,505.0
113.12577,69.43619,36.89737,1009.0,505.0
121.91516,77.85608,26.634586,1009.0,505.0
126.64408,72.67623,37.975113,1009.0,505.0
134.11118,81.17446,26.025873,1009.0,505.0
137.47093,76.213165,38.532642,1009.0,505.0
142.48647,83.58524,70.0,1009.0,505.0
152.16747,90.50549,70.0,1009.0,505.0
161.27695,97.017204,70.0,1009.0,505.0
171.52953,104.34603,70.0,1009.0,505.0
171.52953,104.34603,70.0,1009.0,505.0
181.21059,111.26632,70.0,1009.0,505.0
190.89215,118.18698,70.0,1009.0,505.0
200.5743,125.10805,70.0,1009.0,505.0
210.25365,132.02711,70.0,1009.0,505.0
219.93465,138.94737,70.0,1009.0,505.0
229.6157,145.86766,70.0,1009.0,505.0
239.29642,152.7877,70.0,1009.0,505.0
248.97827,159.70857,70.0,1009.0,505.0
258.65762,166.62764,70.0,1009.0,505.0
268.3392,173.5483,70.0,1009.0,505.0
278.02164,180.46956,70.0,1009.0,505.0
287.70157,187.38904,70.0,1009.0,505.0
297.38507,194.31108,70.0,1009.0,505.0
307.06586,201.23117,70.0,1009.0,505.0
316.74628,208.15102,70.0,1009.0,505.0
326.42563,215.07008,70.0,1009.0,505.0
335.5379,221.58379,70.0,1009.0,505.0
344.64847,228.09627,70.0,1009.0,505.0
354.3286,235.01591,70.0,1009.0,505.0
363.44003,241.529,70.0,1009.0,505.0
372.55252,248.04288,70.0,1009.0,505.0
381.6642,254.55618,70.0,1009.0,508.0
390.77505,261.06888,70.0,1009.0,513.0
400.45605,267.98914,70.0,1008.0,518.0
409.5672,274.50204,70.0,1007.0,523.0
418.1318,280.62427,70.0,1006.0,528.0
427.22177,287.122,70.0,1006.0,531.0
436.35516,293.65082,70.0,1004.0,536.0
446.0139,300.55515,70.0,1002.0,539.0
454.58322,306.68076,70.0,1002.0,542.0
463.7041,313.20062,70.0,1002.0,545.0
473.8704,320.46777,70.0,999.0,550.0
482.44504,326.59717,70.0,998.0,554.0
492.5893,333.84857,70.0,998.0,558.0
501.7124,340.37003,70.0,995.0,566.0
510.57632,346.7062,70.0,993.0,571.0
520.2156,353.59662,70.0,991.0,577.0
530.1753,360.7161,70.0,988.0,581.0
538.75244,366.8473,70.0,988.0,584.0
548.7027,373.96,70.0,986.0,587.0
557.85364,380.50134,70.0,985.0,589.0
567.01184,387.04785,70.0,984.0,591.0
575.73676,393.28467,70.0,983.0,593.0
584.2853,399.3954,70.0,982.0,593.0
594.28424,406.5429,70.0,982.0,594.0
603.4391,413.08707,70.0,982.0,594.0
612.01483,419.21722,70.0,982.0,594.0
621.8632,426.2571,70.0,982.0,594.0
